@W: MO129 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\write_mux.vhd":176:2:176:3|Sequential instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk2.DDR_AXI4_ARBITER_PF_axi_0.write_top_0.write_mux_0.data_valid_o is reduced to a combinational gate by constant propagation.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\axi4_s_if.v":49:2:49:7|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[2] because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\axi4_s_if.v":49:2:49:7|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[1] because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\axi4_s_if.v":49:2:49:7|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[7] because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\axi4_s_if.v":49:2:49:7|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[6] because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\ddr_rw_arbiter.v":449:1:449:6|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk2.DDR_AXI4_ARBITER_PF_axi_0.ddr_rw_arbiter_0.rready because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk11.AXI4_S_IF_0.arsize_dly1[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\hdl\corefifo_async.v":709:12:709:17|Removing instance DDR_Read_0.genblk1.DDR_Read_Native_6.DDR_READ_ASYMM_FIFO_0.genblk16.U_corefifo_async.genblk10.dvld_r because it is equivalent to instance DDR_Read_0.genblk1.DDR_Read_Native_6.DDR_READ_ASYMM_FIFO_0.REN_d1. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\request_scheduler.vhd":253:12:253:13|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk2.DDR_AXI4_ARBITER_PF_axi_0.write_top_0.request_scheduler_0.s_state[5] because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk2.DDR_AXI4_ARBITER_PF_axi_0.read_top_0.request_scheduler_0.s_state[5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\microchip\solutioncore\ddr_axi4_arbiter_pf\2.2.0\rtl\request_scheduler.vhd":253:12:253:13|Removing instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk2.DDR_AXI4_ARBITER_PF_axi_0.read_top_0.request_scheduler_0.s_state[5] because it is equivalent to instance DDR_AXI4_ARBITER_PF_C0_0.DDR_AXI4_ARBITER_PF_C0_0.genblk2.DDR_AXI4_ARBITER_PF_axi_0.ddr_rw_arbiter_0.video_bus_state[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_slvif.v":228:3:228:8|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[7] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_slvif.v":228:3:228:8|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[6] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_slvif.v":228:3:228:8|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[5] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_slvif.v":228:3:228:8|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[3] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[2]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_slvif.v":228:3:228:8|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[2] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_slvif.v":228:3:228:8|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[1] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_SLVIF.ARLEN_slvif[0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\hdl\corefifo.v":1100:3:1100:8|Removing instance DDR_Read_0.genblk1.DDR_Read_Native_6.DDR_READ_ASYMM_FIFO_0.RE_d1 because it is equivalent to instance DDR_Read_0.genblk1.DDR_Read_Native_6.DDR_READ_ASYMM_FIFO_0.REN_d1. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[2] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[5]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[3] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[6]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[4] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[7]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[5] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[8]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[6] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[9]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[7] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[10]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[8] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[11]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[9] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[12]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[10] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[13]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[0] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[3]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\prj\framereader\component\work\pf_sram_ahbl_axi_c0\coreaxi4sram_0\rtl\vlog\core\coreaxi4sram_mainctrl.v":371:5:371:10|Removing instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_sc[1] because it is equivalent to instance PF_SRAM_AHBL_AXI_C0_0.COREAXI4SRAM_0.genblk1.U_PF_SRAM_AHBL_AXI_C0_COREAXI4SRAM_0_CoreAXI4SRAM_MAINCTRL.genblk1.waddr_aligned[4]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: FX203 :|Removing CLKINT I_2 from net rstn_i_c. Reason: Fanout is less than the threshold.
